Got telemetry 184,0.00,27.00,99856.15,95.98,19.00,0.00,0.00,,,,,
255/665,0.00,27.00,99886.54,93.42,31.00,0.00,0.00,,,,,Got telemetry 665,0.00,27.00,99886.54,93.42,31.00,0.00,0.00,,,,,
255/666,0.00,27.00,99885.07,93.54,31.00,0.00,0.00,,,,,Got telemetry 666,0.00,27.00,99885.07,93.54,31.00,0.00,0.00,,,,,
255/667,0.00,26.00,99604.37,117.22,22.00,0.00,0.00,,,,,Got telemetry 667,0.00,26.00,99604.37,117.22,22.00,0.00,0.00,,,,,
255/668,0.00,26.00,99602.91,117.35,22.00,0.00,0.00,,,,,Got telemetry 668,0.00,26.00,99602.91,117.35,22.00,0.00,0.00,,,,,
255/669,0.00,27.00,99886.54,93.42,19.00,0.00,0.00,,,,,Got telemetry 669,0.00,27.00,99886.54,93.42,19.00,0.00,0.00,,,,,
255/670,0.00,27.00,99886.17,93.45,19.00,0.00,0.00,,,,,Got telemetry 670,0.00,27.00,99886.17,93.45,19.00,0.00,0.00,,,,,
255/671,0.00,26.00,99604.37,117.22,20.00,0.00,0.00,,,,,Got telemetry 671,0.00,26.00,99604.37,117.22,20.00,0.00,0.00,,,,,
255/672,0.00,26.00,99604.73,117.20,20.00,0.00,0.00,,,,,Got telemetry 672,0.00,26.00,99604.73,117.20,20.00,0.00,0.00,,,,,
255/673,0.00,28.00,100164.36,70.03,19.00,0.00,0.00,,,,,Got telemetry 673,0.00,28.00,100164.36,70.03,19.00,0.00,0.00,,,,,
255/674,0.00,28.00,100163.63,70.09,19.00,0.00,0.00,,,,,Got telemetry 674,0.00,28.00,100163.63,70.09,19.00,0.00,0.00,,,,,
255/675,0.00,27.00,99885.07,93.54,24.00,0.00,0.00,,,,,Got telemetry 675,0.00,27.00,99885.07,93.54,24.00,0.00,0.00,,,,,
255/676,0.00,27.00,99887.27,93.36,24.00,0.00,0.00,,,,,Got telemetry 676,0.00,27.00,99887.27,93.36,24.00,0.00,0.00,,,,,
255/677,0.00,29.00,100454.70,45.65,23.00,0.00,0.00,,,,,Got telemetry 677,0.00,29.00,100454.70,45.65,23.00,0.00,0.00,,,,,
255/678,0.00,29.00,100455.06,45.62,23.00,0.00,0.00,,,,,Got telemetry 678,0.00,29.00,100455.06,45.62,23.00,0.00,0.00,,,,,
255/679,0.00,29.00,100456.16,45.52,24.00,0.00,0.00,,,,,Got telemetry 679,0.00,29.00,100456.16,45.52,24.00,0.00,0.00,,,,,
255/680,0.00,29.00,100454.70,45.65,24.00,0.00,0.00,,,,,Got telemetry 680,0.00,29.00,100454.70,45.65,24.00,0.00,0.00,,,,,
255/681,0.00,26.00,99606.57,117.04,40.00,0.00,0.00,,,,,Got telemetry 681,0.00,26.00,99606.57,117.04,40.00,0.00,0.00,,,,,
255/682,0.00,26.00,99612.41,116.55,40.00,0.00,0.00,,,,,Got telemetry 682,0.00,26.00,99612.41,116.55,40.00,0.00,0.00,,,,,
255/683,0.00,29.00,100465.72,44.72,25.00,0.00,0.00,,,,,Got telemetry 683,0.00,29.00,100465.72,44.72,25.00,0.00,0.00,,,,,
255/684,0.00,29.00,100466.45,44.66,25.00,0.00,0.00,,,,,Got telemetry 684,0.00,29.00,100466.45,44.66,25.00,0.00,0.00,,,,,
255/685,0.00,27.00,99911.79,91.29,19.00,0.00,0.00,,,,,Got telemetry 685,0.00,27.00,99911.79,91.29,19.00,0.00,0.00,,,,,
255/686,0.00,27.00,99914.72,91.04,19.00,0.00,0.00,,,,,Got telemetry 686,0.00,27.00,99914.72,91.04,19.00,0.00,0.00,,,,,
255/687,0.00,26.00,99633.60,114.76,27.00,0.00,0.00,,,,,Got telemetry 687,0.00,26.00,99633.60,114.76,27.00,0.00,0.00,,,,,
255/688,0.00,26.00,99631.77,114.91,27.00,0.00,0.00,,,,,Got telemetry 688,0.00,26.00,99631.77,114.91,27.00,0.00,0.00,,,,,
255/689,0.00,29.00,100465.72,44.72,23.00,0.00,0.00,,,,,Got telemetry 689,0.00,29.00,100465.72,44.72,23.00,0.00,0.00,,,,,
255/690,0.00,29.00,100466.83,44.63,23.00,0.00,0.00,40.36,49.97,13730,300818,17502800Got telemetry 690,0.00,29.00,100466.83,44.63,23.00,0.00,0.00,40.36,49.97,13730,300818,17502800
255/691,0.00,26.00,99622.63,115.68,30.00,0.00,0.00,,,,,Got telemetry 691,0.00,26.00,99622.63,115.68,30.00,0.00,0.00,,,,,
255/694,0.00,27.00,99898.98,92.37,19.00,0.00,0.00,,,,,Got telemetry 694,0.00,27.00,99898.98,92.37,19.00,0.00,0.00,,,,,
255/695,0.00,26.00,99618.62,116.02,20.00,0.00,0.00,,,,,Got telemetry 695,0.00,26.00,99618.62,116.02,20.00,0.00,0.00,,,,,
255/696,0.00,26.00,99612.05,116.58,20.00,0.00,0.00,,,,,Got telemetry 696,0.00,26.00,99612.05,116.58,20.00,0.00,0.00,,,,,
